ID;Genero;Casado;Edad;Graduado;Experiencia laboral;Gastoscore;Family_Size;anno_nacimiento;Ingresos anuales brutos;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;Campanna_anno;Profesion_Construccion;Profesion_Ejecutivo;Profesion_Funcionario;Profesion_Ingeniero;Profesion_Medico;Profesion_Negocios/empresa;Profesion_Otros;Profesion_Servicios;Generacion_Generacion X;Generacion_Generacion Z;Generacion_Millennials;Provincia_Alicante;Provincia_Almeri­a;Provincia_Badajoz;Provincia_Baleares;Provincia_Barcelona;Provincia_Burgos;Provincia_Caceres;Provincia_Cadiz;Provincia_Castellon;Provincia_Ceuta;Provincia_Ciudad Real;Provincia_Cordoba;Provincia_Cuenca;Provincia_Gerona;Provincia_Granada;Provincia_Guadalajara;Provincia_Guipiºzcoa;Provincia_Huelva;Provincia_Huesca;Provincia_Jaen;Provincia_LLeida;Provincia_La Corui±a;Provincia_La Rioja;Provincia_Las Palmas;Provincia_Leon;Provincia_Lugo;Provincia_Madrid;Provincia_Malaga;Provincia_Melilla;Provincia_Murcia;Provincia_Navarra;Provincia_Orense;Provincia_Palencia;Provincia_Pontevedra;Provincia_Salamanca;Provincia_Santa Cruz de Tenerife;Provincia_Segovia;Provincia_Sevilla;Provincia_Soria;Provincia_Tarragona;Provincia_Teruel;Provincia_Toledo;Provincia_Valencia;Provincia_Valladolid;Provincia_Vizcaya;Provincia_Zamora;Provincia_Zaragoza;Provincia_ilava;Provincia_ivila
2;0;0;24;0;1;1;4;2000;13945;1.029;30;0;278;0.0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;1;42;1;3;2;3;1982;118107;1.79;30;0;455;3.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;1;74;1;3;1;1;1950;53533;1.326;50;0;380;1.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;1;74;1;3;3;2;1950;82273;0.779;50;1;387;3.0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;1;44;1;3;3;6;1980;90776;1.767;30;1;299;0.0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
7;0;1;62;0;3;2;2;1962;54280;1.15;30;0;278;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;35;1;2;1;3;1989;20885;0.916;30;0;234;0.0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;0;36;1;2;1;3;1988;27840;1.56;30;0;540;1.0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;1;67;1;3;1;3;1957;93442;1.385;80;1;195;0.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;1;1;61;1;3;2;4;1963;96524;1.385;80;0;483;3.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
