Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;Ingresos anuales brutos;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;Campanna_anno;Cluster
F;Si;42;Si;Ingeniero;25;Medio;3;118107;1.79;30;0;455;3.0;3
F;Si;74;Si;Ingeniero;25;Bajo;1;53533;1.326;50;0;380;1.0;1
M;Si;74;Si;Servicios;25;Alto;2;82273;0.779;50;1;387;3.0;1
F;No;36;Si;Funcionario;15;Bajo;3;27840;1.56;30;0;540;1.0;0
F;Si;61;Si;Artista;25;Medio;4;96524;1.385;80;0;483;3.0;3
F;No;29;Si;Ingeniero;5;Bajo;3;20504;2.72;30;0;446;3.0;0
M;No;21;No;Funcionario;5;Bajo;4;20827;2.202;30;1;319;0.5;2
M;Si;77;No;Servicios;25;Bajo;1;45283;1.228;30;0;437;3.0;3
F;Si;64;No;Medico;25;Bajo;1;124152;0.779;120;0;375;3.0;4
F;No;45;No;Funcionario;25;Bajo;2;46553;0.801;30;0;409;3.0;3
F;No;35;No;Construccion;15;Bajo;5;30513;1.767;30;0;328;0.5;2
M;Si;36;Si;Artista;15;Bajo;2;24060;0.916;30;0;355;0.5;2
M;No;34;No;Funcionario;15;Bajo;8;18106;1.974;30;0;490;3.0;0
F;No;39;No;Artista;15;Bajo;4;28830;1.146;30;1;373;3.0;2
F;Si;50;Si;Artista;25;Bajo;3;109666;1.17;80;0;416;3.0;3
F;Si;46;No;Medico;25;Bajo;2;58123;0.72;30;0;421;3.0;3
F;Si;91;No;Servicios;25;Alto;2;82612;1.091;120;0;337;0.5;4
F;Si;31;No;Funcionario;5;Medio;5;23394;1.054;30;0;325;0.5;2
F;Si;31;Si;Artista;5;Bajo;2;22565;0.87;30;0;520;4.0;0
M;Si;62;Si;Artista;25;Medio;2;49475;1.6;50;0;493;3.0;3
F;No;24;No;Funcionario;5;Bajo;2;17510;2.996;30;1;337;0.5;2
F;Si;54;Si;Artista;25;Bajo;2;53294;0.896;50;1;389;3.0;1
F;No;32;Si;Funcionario;15;Bajo;1;22818;0.801;30;1;305;0.5;2
F;No;50;Si;Ingeniero;25;Bajo;1;26612;1.17;30;0;395;3.0;3
F;Si;40;Si;Artista;15;Medio;2;83364;1.56;50;0;337;0.5;1
M;Si;44;Si;Artista;25;Bajo;1;59461;1.79;50;1;330;0.5;1
M;Si;84;No;Negocios/empresa;25;Bajo;1;87489;1.385;120;0;550;4.0;4
M;Si;35;Si;Artista;15;Medio;2;19307;1.514;30;0;462;3.0;0
M;No;28;Si;Funcionario;5;Bajo;4;27496;2.237;30;0;401;3.0;0
F;Si;50;Si;Artista;25;Medio;3;73150;0.74;80;0;523;4.0;3
M;Si;79;Si;Servicios;25;Bajo;1;77468;1.58;50;0;579;1.0;3
M;Si;62;Si;Servicios;25;Alto;2;102447;1.404;50;0;571;1.0;3
M;No;28;Si;Otros;5;Bajo;2;25833;2.168;30;0;372;3.0;0
M;Si;34;Si;Medico;15;Medio;2;26168;0.939;30;0;594;4.0;0
M;Si;30;Si;Funcionario;5;Bajo;2;21017;1.813;30;0;451;3.0;0
F;Si;56;Si;Otros;25;Medio;2;125882;0.661;50;1;327;0.5;1
F;Si;52;No;Artista;25;Medio;5;47137;0.837;30;0;372;3.0;3
M;Si;56;No;Artista;25;Bajo;3;28702;1.17;30;1;391;3.0;1
F;No;54;Si;Servicios;25;Bajo;1;40072;1.248;50;0;311;0.5;1
M;No;33;No;Funcionario;15;Bajo;4;19080;1.813;30;0;340;0.5;2
M;Si;69;Si;Artista;25;Bajo;1;47386;0.72;50;0;549;4.0;3
M;Si;39;No;Otros;15;Medio;4;23456;1.261;30;0;512;4.0;0
M;No;35;No;Funcionario;15;Bajo;5;30889;1.905;30;0;314;0.5;2
F;No;46;No;Otros;25;Bajo;3;24287;0.818;30;0;438;3.0;0
M;Si;44;No;Medico;25;Medio;2;110264;1.905;120;1;316;0.5;1
F;Si;67;Si;Artista;25;Alto;2;71322;1.502;50;0;471;1.0;3
F;No;42;Si;Artista;25;Bajo;1;60797;1.836;50;0;331;0.5;1
M;Si;69;Si;Artista;25;Alto;2;119525;1.189;50;0;501;4.0;3
M;Si;64;Si;Medico;25;Medio;2;99774;1.052;50;1;360;0.5;1
M;Si;42;No;Ejecutivo;25;Alto;5;96292;1.054;30;1;355;0.5;1
M;No;20;No;Medico;5;Bajo;2;16588;1.685;30;0;349;0.5;2
